"player1_no","player2_no","round_no","round_status"
1,39,1,"W"
1,21,2,"W"
1,18,3,"W"
1,14,4,"W"
1,7,5,"W"
1,12,6,"D"
1,4,7,"D"
2,63,1,"W"
2,58,2,"W"
2,4,3,"L"
2,17,4,"W"
2,16,5,"W"
2,20,6,"W"
2,7,7,"W"
3,8,1,"L"
3,61,2,"W"
3,25,3,"W"
3,21,4,"W"
3,11,5,"W"
3,13,6,"W"
3,12,7,"W"
4,23,1,"W"
4,28,2,"D"
4,2,3,"W"
4,26,4,"W"
4,5,5,"D"
4,19,6,"W"
4,1,7,"D"
5,45,1,"W"
5,37,2,"W"
5,12,3,"D"
5,13,4,"D"
5,4,5,"D"
5,14,6,"W"
5,17,7,"W"
6,34,1,"W"
6,29,2,"D"
6,11,3,"L"
6,35,4,"W"
6,10,5,"D"
6,27,6,"W"
6,21,7,"W"
7,57,1,"W"
7,46,2,"W"
7,13,3,"W"
7,11,4,"W"
7,1,5,"L"
7,9,6,"W"
7,2,7,"L"
8,3,1,"W"
8,32,2,"W"
8,14,3,"L"
8,9,4,"L"
8,47,5,"W"
8,28,6,"W"
8,19,7,"W"
9,25,1,"W"
9,18,2,"L"
9,59,3,"W"
9,8,4,"W"
9,26,5,"W"
9,7,6,"L"
9,20,7,"W"
10,16,1,"D"
10,19,2,"L"
10,55,3,"W"
10,31,4,"W"
10,6,5,"D"
10,25,6,"W"
10,18,7,"W"
11,38,1,"D"
11,56,2,"W"
11,6,3,"W"
11,7,4,"L"
11,3,5,"L"
11,34,6,"W"
11,26,7,"W"
12,42,1,"W"
12,33,2,"W"
12,5,3,"D"
12,38,4,"W"
12,NA,5,"H"
12,1,6,"D"
12,3,7,"L"
13,36,1,"W"
13,27,2,"W"
13,7,3,"L"
13,5,4,"D"
13,33,5,"W"
13,3,6,"L"
13,32,7,"W"
14,54,1,"W"
14,44,2,"W"
14,8,3,"W"
14,1,4,"L"
14,27,5,"D"
14,5,6,"L"
14,31,7,"W"
15,19,1,"D"
15,16,2,"L"
15,30,3,"W"
15,22,4,"L"
15,54,5,"W"
15,33,6,"W"
15,38,7,"W"
16,10,1,"D"
16,15,2,"W"
16,NA,3,"H"
16,39,4,"W"
16,2,5,"L"
16,36,6,"W"
16,NA,7,"U"
17,48,1,"W"
17,41,2,"W"
17,26,3,"L"
17,2,4,"L"
17,23,5,"W"
17,22,6,"W"
17,5,7,"L"
18,47,1,"W"
18,9,2,"W"
18,1,3,"L"
18,32,4,"W"
18,19,5,"L"
18,38,6,"W"
18,10,7,"L"
19,15,1,"D"
19,10,2,"W"
19,52,3,"W"
19,28,4,"D"
19,18,5,"W"
19,4,6,"L"
19,8,7,"L"
20,40,1,"L"
20,49,2,"W"
20,23,3,"W"
20,41,4,"W"
20,28,5,"W"
20,2,6,"L"
20,9,7,"L"
21,43,1,"W"
21,1,2,"L"
21,47,3,"W"
21,3,4,"L"
21,40,5,"W"
21,39,6,"W"
21,6,7,"L"
22,64,1,"W"
22,52,2,"D"
22,28,3,"L"
22,15,4,"W"
22,NA,5,"H"
22,17,6,"L"
22,40,7,"W"
23,4,1,"L"
23,43,2,"W"
23,20,3,"L"
23,58,4,"W"
23,17,5,"L"
23,37,6,"W"
23,46,7,"W"
24,28,1,"L"
24,47,2,"L"
24,43,3,"W"
24,25,4,"L"
24,60,5,"W"
24,44,6,"W"
24,39,7,"W"
25,9,1,"L"
25,53,2,"W"
25,3,3,"L"
25,24,4,"W"
25,34,5,"D"
25,10,6,"L"
25,47,7,"W"
26,49,1,"W"
26,40,2,"W"
26,17,3,"W"
26,4,4,"L"
26,9,5,"L"
26,32,6,"D"
26,11,7,"L"
27,51,1,"W"
27,13,2,"L"
27,46,3,"W"
